"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","LANDBIRD"
"","BBNT","","Black-billed Nightingale-Thrush","Catharus gracilirostris","CATGRA","",TRUE
"","OBNT","","Orange-billed Nightingale-Thrush","Catharus aurantiirostris","CATAUN","*",TRUE
"","SBNT","","Slaty-backed Nightingale-Thrush","Catharus fuscater","CATFUT","*",TRUE
"","RUNT","","Russet Nightingale-Thrush","Catharus occidentalis","CATOCC","",TRUE
"","RCNT","","Ruddy-capped Nightingale-Thrush","Catharus frantzii","CATFRA","",TRUE
"","BHNT","","Black-headed Nightingale-Thrush","Catharus mexicanus","CASMEX","*",TRUE
"","SPNT","","Spotted Nightingale-Thrush","Catharus dryas","CATDRY","",TRUE
"","VEER","","Veery","Catharus fuscescens","CATFUN","*",TRUE
"","GCTH","","Gray-cheeked Thrush","Catharus minimus","CATMIN","",TRUE
"","BITH","","Bicknell's Thrush","Catharus bicknelli","CATBIC","",TRUE
"","SWTH","","Swainson's Thrush","Catharus ustulatus","CATUST","",TRUE
"","HETH","","Hermit Thrush","Catharus guttatus","CATGUT","",TRUE
"","WOTH","","Wood Thrush","Hylocichla mustelina","HYLMUS","",TRUE
"","SOOT","*","Sooty Thrush","Turdus nigrescens","TURNIG","",TRUE
"","BLTH","","Black Thrush","Turdus infuscatus","TURINF","",TRUE
"","MOTH","","Mountain Thrush","Turdus plebejus","TURPLE","",TRUE
"","PVTH","","Pale-vented Thrush","Turdus obsoletus","TUROBL","*",TRUE
"","CCTH","","Clay-colored Thrush","Turdus grayi","TURGRA","",TRUE
"","WTTH","","White-throated Thrush","Turdus assimilis","TURASS","",TRUE
"","RBRO","","Rufous-backed Robin","Turdus rufopalliatus","TURRUP","*",TRUE
"","RCRO","","Rufous-collared Robin","Turdus rufitorques","TURRUT","*",TRUE
"","AMRO","","American Robin","Turdus migratorius","TURMIG","",TRUE
"","VATH","","Varied Thrush","Ixoreus naevius","IXONAE","",TRUE
"","AZTH","","Aztec Thrush","Ridgwayia pinicola","RIDPIN","",TRUE
"","BLMO","","Blue Mockingbird","Melanotis caerulescens","MELCAE","",TRUE
"","BAWM","","Blue-and-white Mockingbird","Melanotis hypoleucus","MELHYC","*",TRUE
"","BLCA","","Black Catbird","Melanoptila glabrirostris","MELGLA","",TRUE
"","GRCA","","Gray Catbird","Dumetella carolinensis","DUMCAR","",TRUE
"","CBTH","","Curve-billed Thrasher","Toxostoma curvirostre","TOXCUR","",TRUE
"","OCTH","","Ocellated Thrasher","Toxostoma ocellatum","TOXOCE","",TRUE
"","BRTH","","Brown Thrasher","Toxostoma rufum","TOXRUF","",TRUE
"","LBTH","","Long-billed Thrasher","Toxostoma longirostre","TOXLON","",TRUE
"","COZT","*","Cozumel Thrasher","Toxostoma guttatum","TOXGUT","",TRUE
"","BETH","","Bendire's Thrasher","Toxostoma bendirei","TOXBEN","",TRUE
"","GRAT","*","Gray Thrasher","Toxostoma cinereum","TOXCIN","",TRUE
"","CATH","","California Thrasher","Toxostoma redivivum","TOXRED","",TRUE
"","LCTH","","LeConte's Thrasher","Toxostoma lecontei","TOXLEC","",TRUE
"","CRTH","","Crissal Thrasher","Toxostoma crissale","TOXCRI","",TRUE
"","SATH","","Sage Thrasher","Oreoscoptes montanus","OREMON","",TRUE
"","SOMO","","Socorro Mockingbird","Mimus graysoni","MIMGRA","",TRUE
"","TRMO","","Tropical Mockingbird","Mimus gilvus","MIMGIL","",TRUE
"","NOMO","","Northern Mockingbird","Mimus polyglottos","MIMPOL","",TRUE
"","EUST","","European Starling","Sturnus vulgaris","STUVUL","",TRUE
"","COMY","","Common Myna","Acridotheres tristis","ACRTRI","",TRUE
"","BOWA","","Bohemian Waxwing","Bombycilla garrulus","BOMGAR","",TRUE
"","CEDW","*","Cedar Waxwing","Bombycilla cedrorum","BOMCED","",TRUE
"","BAYS","","Black-and-yellow Silky-flycatcher","Phainoptila melanoxantha","PHAMEL","",TRUE
"","GRSF","","Gray Silky-flycatcher","Ptiliogonys cinereus","PTICIN","",TRUE
"","LTSF","","Long-tailed Silky-flycatcher","Ptiliogonys caudatus","PTICAU","",TRUE
"","PHAI","","Phainopepla","Phainopepla nitens","PHANIT","",TRUE
"","OLWA","","Olive Warbler","Peucedramus taeniatus","PEUTAE","",TRUE
"","SBMU","","Scaly-breasted Munia","Lonchura punctulata","LONPUN","",TRUE
"","TRMU","","Tricolored Munia","Lonchura malacca","LONMAL","",TRUE
"","HOSP","","House Sparrow","Passer domesticus","PASDOM","",TRUE
"","ETSP","","Eurasian Tree Sparrow","Passer montanus","PASMON","",TRUE
"","EYWA","","Eastern Yellow Wagtail","Motacilla tschutschensis","MOTTSC","",TRUE
"","WHWA","","White Wagtail","Motacilla alba","MOTALB","",TRUE
"","RTPI","","Red-throated Pipit","Anthus cervinus","ANTCER","",TRUE
"","AMPI","","American Pipit","Anthus rubescens","ANTRUB","",TRUE
"","SPPI","","Sprague's Pipit","Anthus spragueii","ANTSPR","",TRUE
"","YEPI","","Yellowish Pipit","Anthus lutescens","ANTLUT","",TRUE
"","BCRC","*","Blue-crowned Chlorophonia","Chlorophonia occipitalis","CHLOCC","",TRUE
"","GBCH","","Golden-browed Chlorophonia","Chlorophonia callophrys","CHLCAL","",TRUE
"","SEUP","*","Scrub Euphonia","Euphonia affinis","EUPAFF","",TRUE
"","YCEU","","Yellow-crowned Euphonia","Euphonia luteicapilla","EUPLUT","",TRUE
"","TBEU","","Thick-billed Euphonia","Euphonia laniirostris","EUPLAN","",TRUE
"","YTEU","","Yellow-throated Euphonia","Euphonia hirundinacea","EUPHIR","",TRUE
"","ELEU","","Elegant Euphonia","Euphonia elegantissima","EUPELE","",TRUE
"","FVEU","","Fulvous-vented Euphonia","Euphonia fulvicrissa","EUPFUL","",TRUE
"","SPCE","*","Spot-crowned Euphonia","Euphonia imitans","EUPIMI","",TRUE
"","OBAE","*","Olive-backed Euphonia","Euphonia gouldi","EUPGOU","",TRUE
"","WVEU","","White-vented Euphonia","Euphonia minuta","EUPMIN","",TRUE
"","TCEU","","Tawny-capped Euphonia","Euphonia anneae","EUPANN","",TRUE
"","OBEE","*","Orange-bellied Euphonia","Euphonia xanthogaster","EUPXAN","",TRUE
"","HOOG","*","Hooded Grosbeak","Coccothraustes abeillei","COCABE","",TRUE
"","EVGR","","Evening Grosbeak","Coccothraustes vespertinus","COCVES","",TRUE
"","PIGR","","Pine Grosbeak","Pinicola enucleator","PINENU","",TRUE
"","GCRF","","Gray-crowned Rosy-Finch","Leucosticte tephrocotis","LEUTEP","",TRUE
"","BLRF","","Black Rosy-Finch","Leucosticte atrata","LEUATT","*",TRUE
"","BCRF","","Brown-capped Rosy-Finch","Leucosticte australis","LEUAUS","",TRUE
"","HOFI","","House Finch","Haemorhous mexicanus","HAEMEX","",TRUE
"","PUFI","","Purple Finch","Haemorhous purpureus","HAEPUR","",TRUE
"","CAFI","","Cassin's Finch","Haemorhous cassinii","HAECAS","",TRUE
"","CORE","","Common Redpoll","Acanthis flammea","ACAFLA","",TRUE
"","HORE","","Hoary Redpoll","Acanthis hornemanni","ACAHOR","",TRUE
"","RECR","","Red Crossbill","Loxia curvirostra","LOXCUR","",TRUE
"","CACR","","Cassia Crossbill","Loxia sinesciuris","LOXSIN","",TRUE
"","WWCR","","White-winged Crossbill","Loxia leucoptera","LOXLEU","",TRUE
"","PISI","","Pine Siskin","Spinus pinus","SPIPIN","",TRUE
"","BCSI","","Black-capped Siskin","Spinus atriceps","SPIATC","*",TRUE
"","BHSI","","Black-headed Siskin","Spinus notatus","SPINOT","",TRUE
"","YBSI","","Yellow-bellied Siskin","Spinus xanthogastrus","SPIXAN","",TRUE
"","LEGO","","Lesser Goldfinch","Spinus psaltria","SPIPSA","",TRUE
"","LAGO","","Lawrence's Goldfinch","Spinus lawrencei","SPILAW","",TRUE
"","AMGO","","American Goldfinch","Spinus tristis","SPITRI","",TRUE
"","LALO","","Lapland Longspur","Calcarius lapponicus","CALLAP","",TRUE
"","CCLO","","Chestnut-collared Longspur","Calcarius ornatus","CALORN","",TRUE
"","SMLO","","Smith's Longspur","Calcarius pictus","CALPIC","",TRUE
"","TBLO","","Thick-billed Longspur","Rhynchophanes mccownii","RHYMCC","",TRUE
"","SNBU","","Snow Bunting","Plectrophenax nivalis","PLENIV","",TRUE
"","MKBU","","McKay's Bunting","Plectrophenax hyperboreus","PLEHYP","",TRUE
"","ROTT","","Rosy Thrush-Tanager","Rhodinocichla rosea","RHNROS","*",TRUE
"","YTCH","","Yellow-throated Chlorospingus","Chlorospingus flavigularis","CHLFLG","*",TRUE
"","ATCH","","Ashy-throated Chlorospingus","Chlorospingus canigularis","CHLCAG","*",TRUE
"","SCCH","","Sooty-capped Chlorospingus","Chlorospingus pileatus","CHLPIL","",TRUE
"","COCL","*","Common Chlorospingus","Chlorospingus flavopectus","CHLFLP","*",TRUE
"","TACH","","Tacarcuna Chlorospingus","Chlorospingus tacarcunae","CHLTAC","",TRUE
"","PICH","","Pirre Chlorospingus","Chlorospingus inornatus","CHLINO","",TRUE
"","RWSP","","Rufous-winged Sparrow","Peucaea carpalis","PEUCAR","",TRUE
"","CTSP","","Cinnamon-tailed Sparrow","Peucaea sumichrasti","PEUSUM","",TRUE
"","SHSP","","Stripe-headed Sparrow","Peucaea ruficauda","PEURUF","",TRUE
"","BCHS","*","Black-chested Sparrow","Peucaea humeralis","PEUHUM","",TRUE
"","BRIS","*","Bridled Sparrow","Peucaea mystacalis","PEUMYS","",TRUE
"","BOSP","","Botteri's Sparrow","Peucaea botterii","PEUBOT","",TRUE
"","CASP","","Cassin's Sparrow","Peucaea cassinii","PEUCAS","",TRUE
"","BACS","*","Bachman's Sparrow","Peucaea aestivalis","PEUAES","",TRUE
"","GRSP","","Grasshopper Sparrow","Ammodramus savannarum","AMMSAV","",TRUE
"","OLSP","","Olive Sparrow","Arremonops rufivirgatus","ARRRUF","",TRUE
"","GBSP","","Green-backed Sparrow","Arremonops chloronotus","ARRCHL","",TRUE
"","BSTS","*","Black-striped Sparrow","Arremonops conirostris","ARRCON","",TRUE
"","FSSP","","Five-striped Sparrow","Amphispiza quinquestriata","AMPQUI","",TRUE
"","BTSP","","Black-throated Sparrow","Amphispiza bilineata","AMPBIL","",TRUE
"","LASP","","Lark Sparrow","Chondestes grammacus","CHOGRA","",TRUE
"","LARB","*","Lark Bunting","Calamospiza melanocorys","CALMEC","*",TRUE
"","CHSP","","Chipping Sparrow","Spizella passerina","SPIPAS","",TRUE
"","CCSP","","Clay-colored Sparrow","Spizella pallida","SPIPAL","",TRUE
"","BCSP","","Black-chinned Sparrow","Spizella atrogularis","SPIATG","*",TRUE
"","FISP","","Field Sparrow","Spizella pusilla","SPIPUS","",TRUE
"","BRSP","","Brewer's Sparrow","Spizella breweri","SPIBRE","",TRUE
"","WOSP","","Worthen's Sparrow","Spizella wortheni","SPIWOR","",TRUE
"","CRBR","","Costa Rican Brushfinch","Arremon costaricensis","ARRCOS","",TRUE
"","OBSP","","Orange-billed Sparrow","Arremon aurantiirostris","ARRAUR","",TRUE
"","GSBR","","Green-striped Brushfinch","Arremon virenticeps","ARRVIR","",TRUE
"","CCBR","","Chestnut-capped Brushfinch","Arremon brunneinucha","ARRBRU","",TRUE
"","SFFI","","Sooty-faced Finch","Arremon crassirostris","ARRCRA","",TRUE
"","FOSP","","Fox Sparrow","Passerella iliaca","PASILI","",TRUE
"","ATSP","","American Tree Sparrow","Spizelloides arborea","SPIARB","",TRUE
"","VOJU","","Volcano Junco","Junco vulcani","JUNVUL","",TRUE
"","GUJU","","Guadalupe Junco","Junco insularis","JUNINS","",TRUE
"","DEJU","","Dark-eyed Junco","Junco hyemalis","JUNHYE","",TRUE
"","YEJU","","Yellow-eyed Junco","Junco phaeonotus","JUNPHA","",TRUE
"","BAJU","","Baird's Junco","Junco bairdi","JUNBAI","",TRUE
"","RCOS","*","Rufous-collared Sparrow","Zonotrichia capensis","ZONCAP","",TRUE
"","WCSP","","White-crowned Sparrow","Zonotrichia leucophrys","ZONLEU","",TRUE
"","GCSP","","Golden-crowned Sparrow","Zonotrichia atricapilla","ZONATR","",TRUE
"","HASP","","Harris's Sparrow","Zonotrichia querula","ZONQUE","",TRUE
"","WTSP","","White-throated Sparrow","Zonotrichia albicollis","ZONALB","",TRUE
"","SABS","*","Sagebrush Sparrow","Artemisiospiza nevadensis","ARTNEV","",TRUE
"","BESP","","Bell's Sparrow","Artemisiospiza belli","ARTBEL","",TRUE
"","SSPA","*","Striped Sparrow","Oriturus superciliosus","ORISUP","",TRUE
"","VESP","","Vesper Sparrow","Pooecetes gramineus","POOGRA","",TRUE
"","LCSP","","LeConte's Sparrow","Ammospiza leconteii","AMMLEC","",TRUE
"","SESP","","Seaside Sparrow","Ammospiza maritima","AMMMAR","",TRUE
"","NESP","","Nelson's Sparrow","Ammospiza nelsoni","AMMNEL","",TRUE
"","SALS","*","Saltmarsh Sparrow","Ammospiza caudacuta","AMMCAU","",TRUE
"","BAIS","*","Baird's Sparrow","Centronyx bairdii","CENBAI","",TRUE
"","HESP","","Henslow's Sparrow","Centronyx henslowii","CENHEN","",TRUE
"","SAVS","*","Savannah Sparrow","Passerculus sandwichensis","PASSAN","",TRUE
"","SMSP","","Sierra Madre Sparrow","Xenospiza baileyi","XENBAI","",TRUE
"","SOSP","","Song Sparrow","Melospiza melodia","MELMEL","",TRUE
"","LISP","","Lincoln's Sparrow","Melospiza lincolnii","MELLIN","",TRUE
"","SWSP","","Swamp Sparrow","Melospiza georgiana","MELGEO","",TRUE
"","LFFI","","Large-footed Finch","Pezopetes capitalis","PEZCAP","",TRUE
"","RCGS","","Rusty-crowned Ground-Sparrow","Melozone kieneri","MELKIE","",TRUE
"","CANT","*","Canyon Towhee","Melozone fusca","MEZFUS","*",TRUE
"","WTTO","","White-throated Towhee","Melozone albicollis","MELALB","",TRUE
"","ABTO","","Abert's Towhee","Melozone aberti","MELABE","",TRUE
"","CALT","*","California Towhee","Melozone crissalis","MELCRI","",TRUE
"","WEGS","","White-eared Ground-Sparrow","Melozone leucotis","MELLEU","",TRUE
"","WFGS","","White-faced Ground-Sparrow","Melozone biarcuata","MELBIA","",TRUE
"","CAGS","","Cabanis's Ground-Sparrow","Melozone cabanisi","MELCAB","",TRUE
"","RUSP","","Rusty Sparrow","Aimophila rufescens","AIMRUS","*",TRUE
"","RCSP","","Rufous-crowned Sparrow","Aimophila ruficeps","AIMRUP","*",TRUE
"","OASP","","Oaxaca Sparrow","Aimophila notosticta","AIMNOT","",TRUE
"","GTTO","","Green-tailed Towhee","Pipilo chlorurus","PIPCHL","",TRUE
"","SPTO","","Spotted Towhee","Pipilo maculatus","PIPMAC","",TRUE
"","EATO","","Eastern Towhee","Pipilo erythrophthalmus","PIPERY","",TRUE
"","COTO","","Collared Towhee","Pipilo ocai","PIPOCA","",TRUE
"","RCBR","","Rufous-capped Brushfinch","Atlapetes pileatus","ATLPIL","",TRUE
"","WNBR","","White-naped Brushfinch","Atlapetes albinucha","ATLALB","",TRUE
"","YTBR","","Yellow-thighed Brushfinch","Atlapetes tibialis","ALTTIB","",TRUE
"","YGBR","","Yellow-green Brushfinch","Atlapetes luteoviridis","ALTLUT","",TRUE
"","WESP","","Western Spindalis","Spindalis zena","SPIZEN","",TRUE
"","WRET","*","Wrenthrush","Zeledonia coronata","ZELCOR","",TRUE
"","YBCH","","Yellow-breasted Chat","Icteria virens","ICTVIR","",TRUE
"","YHBL","","Yellow-headed Blackbird","Xanthocephalus xanthocephalus","XANXAN","",TRUE
"","BOBO","","Bobolink","Dolichonyx oryzivorus","DOLORY","",TRUE
"","EAME","","Eastern Meadowlark","Sturnella magna","STUMAG","",TRUE
"","WEME","","Western Meadowlark","Sturnella neglecta","STUNEG","",TRUE
"","RBRM","*","Red-breasted Meadowlark","Leistes militaris","LEIMIL","",TRUE
"","YBIC","*","Yellow-billed Cacique","Amblycercus holosericeus","AMBHOL","",TRUE
"","YWCA","","Yellow-winged Cacique","Cassiculus melanicterus","CASMEL","",TRUE
"","CROR","","Crested Oropendola","Psarocolius decumanus","PSADEC","",TRUE
"","CHOR","","Chestnut-headed Oropendola","Psarocolius wagleri","PSAWAG","",TRUE
"","MORO","*","Montezuma Oropendola","Psarocolius montezuma","PSAMON","",TRUE
"","BLOR","","Black Oropendola","Psarocolius guatimozinus","PSAGUA","",TRUE
"","SRCA","","Scarlet-rumped Cacique","Cacicus uropygialis","CACURO","",TRUE
"","YRCA","","Yellow-rumped Cacique","Cacicus cela","CACCEL","",TRUE
"","BVOR","","Black-vented Oriole","Icterus wagleri","ICTWAG","",TRUE
"","BWOR","","Bar-winged Oriole","Icterus maculialatus","ICTMAC","",TRUE
"","BCOR","","Black-cowled Oriole","Icterus prosthemelas","ICTPRO","",TRUE
"","OROR","","Orchard Oriole","Icterus spurius","ICTSPU","",TRUE
"","HOOR","","Hooded Oriole","Icterus cucullatus","ICTCUC","",TRUE
"","YBOR","","Yellow-backed Oriole","Icterus chrysater","ICTCHR","",TRUE
"","OCOR","","Orange-crowned Oriole","Icterus auricapillus","ICTAUC","*",TRUE
"","YTOR","","Yellow-tailed Oriole","Icterus mesomelas","ICTMES","",TRUE
"","SBAO","*","Streak-backed Oriole","Icterus pustulatus","ICTPUS","",TRUE
"","BUOR","","Bullock's Oriole","Icterus bullockii","ICTBUL","",TRUE
"","ORAO","*","Orange Oriole","Icterus auratus","ICTAUT","*",TRUE
"","SBOR","","Spot-breasted Oriole","Icterus pectoralis","ICTPEC","",TRUE
"","ALOR","","Altamira Oriole","Icterus gularis","ICTGUL","",TRUE
"","AUOR","","Audubon's Oriole","Icterus graduacauda","ICTGRA","",TRUE
"","BAOR","","Baltimore Oriole","Icterus galbula","ICTGAL","",TRUE
"","BBOR","","Black-backed Oriole","Icterus abeillei","ICTABE","",TRUE
"","SCOR","","Scott's Oriole","Icterus parisorum","ICTPAR","",TRUE
"","RWBL","","Red-winged Blackbird","Agelaius phoeniceus","AGEPHO","",TRUE
"","TRBL","","Tricolored Blackbird","Agelaius tricolor","AGETRI","",TRUE
"","SHCO","","Shiny Cowbird","Molothrus bonariensis","MOLBON","",TRUE
"","BROC","*","Bronzed Cowbird","Molothrus aeneus","MOLAEN","",TRUE
"","BHCO","","Brown-headed Cowbird","Molothrus ater","MOLATE","",TRUE
"","GICO","","Giant Cowbird","Molothrus oryzivorus","MOLORY","",TRUE
"","MEBL","","Melodious Blackbird","Dives dives","DIVDIV","",TRUE
"","RUBL","","Rusty Blackbird","Euphagus carolinus","EUPCAR","",TRUE
"","BRBL","","Brewer's Blackbird","Euphagus cyanocephalus","EUPCYC","*",TRUE
"","COGR","","Common Grackle","Quiscalus quiscula","QUIQUI","",TRUE
"","BTGR","","Boat-tailed Grackle","Quiscalus major","QUIMAJ","",TRUE
"","GTGR","","Great-tailed Grackle","Quiscalus mexicanus","QUIMEX","",TRUE
"","NIGR","","Nicaraguan Grackle","Quiscalus nicaraguensis","QUINIC","",TRUE
"","YHOB","*","Yellow-hooded Blackbird","Chrysomus icterocephalus","CHRICT","",TRUE
"","OVEN","","Ovenbird","Seiurus aurocapilla","SEIAUR","",TRUE
"","WEWA","","Worm-eating Warbler","Helmitheros vermivorum","HELVER","",TRUE
"","LOWA","","Louisiana Waterthrush","Parkesia motacilla","PARMOT","",TRUE
"","NOWA","","Northern Waterthrush","Parkesia noveboracensis","PARNOV","",TRUE
"","GWWA","","Golden-winged Warbler","Vermivora chrysoptera","VERCHR","",TRUE
"","BWWA","","Blue-winged Warbler","Vermivora cyanoptera","VERCYA","",TRUE
"","BAWW","","Black-and-white Warbler","Mniotilta varia","MNIVAR","",TRUE
"","PROW","*","Prothonotary Warbler","Protonotaria citrea","PROCIT","",TRUE
"","SWWA","","Swainson's Warbler","Limnothlypis swainsonii","LIMSWA","",TRUE
"","CCWA","","Crescent-chested Warbler","Oreothlypis superciliosa","ORESUP","",TRUE
"","FTHW","*","Flame-throated Warbler","Oreothlypis gutturalis","OREGUT","",TRUE
"","TEWA","","Tennessee Warbler","Leiothlypis peregrina","LEIPER","",TRUE
"","OCWA","","Orange-crowned Warbler","Leiothlypis celata","LEICEL","",TRUE
"","COLW","*","Colima Warbler","Leiothlypis crissalis","LEICRI","",TRUE
"","LUWA","","Lucy's Warbler","Leiothlypis luciae","LEILUC","",TRUE
"","NAWA","","Nashville Warbler","Leiothlypis ruficapilla","LEIRUF","",TRUE
"","VIWA","","Virginia's Warbler","Leiothlypis virginiae","LEIVIR","",TRUE
"","CONW","*","Connecticut Warbler","Oporornis agilis","OPOAGI","",TRUE
"","GCYE","","Gray-crowned Yellowthroat","Geothlypis poliocephala","GEOPOL","",TRUE
"","MGWA","","MacGillivray's Warbler","Geothlypis tolmiei","GEOTOL","",TRUE
"","MOWA","","Mourning Warbler","Geothlypis philadelphia","GEOPHI","",TRUE
"","KEWA","","Kentucky Warbler","Geothlypis formosa","GEOFOR","",TRUE
"","OCYE","","Olive-crowned Yellowthroat","Geothlypis semiflava","GEOSEM","",TRUE
"","BPYE","","Black-polled Yellowthroat","Geothlypis speciosa","GEOSPE","",TRUE
"","BEYE","","Belding's Yellowthroat","Geothlypis beldingi","GEOBEL","",TRUE
"","ALYE","","Altamira Yellowthroat","Geothlypis flavovelata","GEOFLA","",TRUE
"","COYE","","Common Yellowthroat","Geothlypis trichas","GEOTRI","",TRUE
"","HOYE","","Hooded Yellowthroat","Geothlypis nelsoni","GEONEL","",TRUE
"","HOWA","","Hooded Warbler","Setophaga citrina","SETCIT","",TRUE
"","AMRE","","American Redstart","Setophaga ruticilla","SETRUT","",TRUE
"","KIWA","","Kirtland's Warbler","Setophaga kirtlandii","SETKIR","",TRUE
"","CMWA","","Cape May Warbler","Setophaga tigrina","SETTIG","",TRUE
"","CERW","*","Cerulean Warbler","Setophaga cerulea","SETCER","",TRUE
"","NOPA","","Northern Parula","Setophaga americana","SETAME","",TRUE
"","TRPA","","Tropical Parula","Setophaga pitiayumi","SETPIM","*",TRUE
"","MAWA","","Magnolia Warbler","Setophaga magnolia","SETMAG","",TRUE
"","BBWA","","Bay-breasted Warbler","Setophaga castanea","SETCAS","",TRUE
"","BLBW","*","Blackburnian Warbler","Setophaga fusca","SETFUS","",TRUE
"","YEWA","","Yellow Warbler","Setophaga petechia","SETPET","",TRUE
"","CSWA","","Chestnut-sided Warbler","Setophaga pensylvanica","SETPEN","",TRUE
"","BLPW","*","Blackpoll Warbler","Setophaga striata","SETSTR","",TRUE
"","BTBW","","Black-throated Blue Warbler","Setophaga caerulescens","SETCAE","",TRUE
"","PAWA","","Palm Warbler","Setophaga palmarum","SETPAL","",TRUE
"","PIWA","","Pine Warbler","Setophaga pinus","SETPIN","",TRUE
"","YRWA","","Yellow-rumped Warbler","Setophaga coronata","SETCOR","",TRUE
"","YTWA","","Yellow-throated Warbler","Setophaga dominica","SETDOM","",TRUE
"","VITW","*","Vitelline Warbler","Setophaga vitellina","SETVIT","",TRUE
"","PRAW","*","Prairie Warbler","Setophaga discolor","SETDIS","",TRUE
"","GRWA","","Grace's Warbler","Setophaga graciae","SETGRA","",TRUE
"","BTYW","*","Black-throated Gray Warbler","Setophaga nigrescens","SETNIG","",TRUE
"","TOWA","","Townsend's Warbler","Setophaga townsendi","SETTOW","",TRUE
"","HEWA","","Hermit Warbler","Setophaga occidentalis","SETOCC","",TRUE
"","GCWA","","Golden-cheeked Warbler","Setophaga chrysoparia","SETCHR","",TRUE
"","BTNW","*","Black-throated Green Warbler","Setophaga virens","SETVIR","",TRUE
"","BURW","*","Buff-rumped Warbler","Myiothlypis fulvicauda","MYIFUL","",TRUE
"","FTWA","","Fan-tailed Warbler","Basileuterus lachrymosus","BASLAC","",TRUE
"","RCWA","","Rufous-capped Warbler","Basileuterus rufifrons","BASRUF","",TRUE
"","BCWA","","Black-cheeked Warbler","Basileuterus melanogenys","BASMEG","*",TRUE
"","PIRW","*","Pirre Warbler","Basileuterus ignotus","BASIGN","",TRUE
"","GBWA","","Golden-browed Warbler","Basileuterus belli","BASBEL","",TRUE
"","GCRW","*","Golden-crowned Warbler","Basileuterus culicivorus","BASCUL","",TRUE
"","CRWA","","Costa Rican Warbler","Basileuterus melanotis","BASMET","*",TRUE
"","TAWA","","Tacarcuna Warbler","Basileuterus tacarcunae","BASTAC","",TRUE
"","CAWA","","Canada Warbler","Cardellina canadensis","CADCAN","",TRUE
"","WIWA","","Wilson's Warbler","Cardellina pusilla","CARPUS","",TRUE
"","RFWA","","Red-faced Warbler","Cardellina rubrifrons","CARRUF","*",TRUE
"","REWA","","Red Warbler","Cardellina rubra","CARRUA","*",TRUE
"","PHWA","","Pink-headed Warbler","Cardellina versicolor","CARVER","",TRUE
"","PARE","","Painted Redstart","Myioborus pictus","MYIPIC","",TRUE
"","STRE","","Slate-throated Redstart","Myioborus miniatus","MYIMIN","",TRUE
"","COLR","*","Collared Redstart","Myioborus torquatus","MYITOR","",TRUE
"","DFTA","","Dusky-faced Tanager","Mitrospingus cassinii","MITCAS","",TRUE
"","RTTA","","Rose-throated Tanager","Piranga roseogularis","PIRROS","",TRUE
"","HETA","","Hepatic Tanager","Piranga flava","PIRFLA","",TRUE
"","SUTA","","Summer Tanager","Piranga rubra","PIRRUB","",TRUE
"","SCTA","","Scarlet Tanager","Piranga olivacea","PIROLI","",TRUE
"","WETA","","Western Tanager","Piranga ludoviciana","PIRLUD","",TRUE
"","FCTA","","Flame-colored Tanager","Piranga bidentata","PIRBID","",TRUE
"","WWTA","","White-winged Tanager","Piranga leucoptera","PIRLEU","",TRUE
"","RHTA","","Red-headed Tanager","Piranga erythrocephala","PIRERY","",TRUE
"","RCAT","","Red-crowned Ant-Tanager","Habia rubica","HABRUB","",TRUE
"","RTAT","","Red-throated Ant-Tanager","Habia fuscicauda","HABFUS","",TRUE
"","BCAT","","Black-cheeked Ant-Tanager","Habia atrimaxillaris","HABATR","",TRUE
"","CATA","","Carmiol's Tanager","Chlorothraupis carmioli","CHLCAR","",TRUE
"","LSTA","","Lemon-spectacled Tanager","Chlorothraupis olivacea","CHLOLI","",TRUE
"","BFAG","*","Black-faced Grosbeak","Caryothraustes poliogaster","CARPOL","",TRUE
"","YGGR","","Yellow-green Grosbeak","Caryothraustes canadensis","CATCAN","",TRUE
"","CCGR","","Crimson-collared Grosbeak","Rhodothraupis celaeno","RHOCEL","",TRUE
"","NOCA","","Northern Cardinal","Cardinalis cardinalis","CARCAI","*",TRUE
"","PYRR","","Pyrrhuloxia","Cardinalis sinuatus","CARSIN","",TRUE
"","YEGR","","Yellow Grosbeak","Pheucticus chrysopeplus","PHECHR","",TRUE
"","BTGG","*","Black-thighed Grosbeak","Pheucticus tibialis","PHETIB","",TRUE
"","RBGR","","Rose-breasted Grosbeak","Pheucticus ludovicianus","PHELUD","",TRUE
"","BHGR","","Black-headed Grosbeak","Pheucticus melanocephalus","PHEMEL","",TRUE
"","RBRC","*","Red-breasted Chat","Granatellus venustus","GRAVEN","",TRUE
"","GTCH","","Gray-throated Chat","Granatellus sallaei","GRASAL","",TRUE
"","BLSE","","Blue Seedeater","Amaurospiza concolor","AMSCON","*",TRUE
"","BGRO","*","Blue-black Grosbeak","Cyanoloxia cyanoides","CYACYD","*",TRUE
"","BLBU","","Blue Bunting","Cyanocompsa parellina","CYAPAR","",TRUE
"","BLGR","","Blue Grosbeak","Passerina caerulea","PASCAE","",TRUE
"","LAZB","*","Lazuli Bunting","Passerina amoena","PASAMO","",TRUE
"","INBU","","Indigo Bunting","Passerina cyanea","PASCYA","",TRUE
"","RBBU","","Rose-bellied Bunting","Passerina rositae","PASROS","",TRUE
"","OBBU","","Orange-breasted Bunting","Passerina leclancherii","PASLEC","",TRUE
